id	name	idmatch	namematch
301	Koronczi Endre	1372	koronczi Endre
546	Maurer Dóra	9872	Maurer dóra
168	Petrányi Zsolt	16093	PETRÁNYI ZSOLT
2876	Verebes György	6007	VEREBES György
5122	Fenyvesi Áron	16463	FENYVESI Áron
5122	Fenyvesi Áron	8426	FENYVESI Áron
4052	Bánki Ákos	17385	Bánki ÁKos
4052	Bánki Ákos	11474	BÁNKI Ákos
344	Győrffy László	12375	GYőRFFY László
344	Győrffy László	1368	Győrffy lászló
699	Kecskés Péter	5279	kecskés péter
1767	Kaszás Tamás	16258	KASZÁS Tamás
625	feLugossy László	15748	felugossy László
1063	Szurcsik József	3766	SZURCSIK JÓZSEF
7106	Szabó Noémi	14780	SZABÓ Noémi
7106	Szabó Noémi	6626	SZABÓ Noémi
853	Kokesch Ádám	15867	kokesch ádám
434	Elekes Károly	12080	ELEKES KÁROLY
1126	Birkás Ákos	15194	BIRKÁS Ákos
93	Horváth Tibor	2756	HORVÁTH TIBOR
93	Horváth Tibor	1373	Horváth tibor
3935	Verebics Ágnes	11035	VEREBICS ÁGNES
1769	Mécs Miklós	5270	MÉCS MIKLÓS
255	Pacsika Rudolf	8466	PACSIKA Rudolf
2979	Herman Levente	3484	herman levente
808	Kincses Károly	10111	KINCSES KÁROLY
231	Roskó Gábor	13788	ROSKÓ GÁBOR
1711	Horváth Dániel	2406	HORVÁTH DÁNIEL
852	Kisspál Szabolcs	12204	KISSPÁL Szabolcs
852	Kisspál Szabolcs	8269	KIssPál Szabolcs
680	Várnagy Tibor	10506	VÁRNAGY Tibor
680	Várnagy Tibor	5224	VÁRNAGY TIBOR
141	Szabó Dezső	12443	Szabó DEzső
3966	Magyarósi Éva	16630	MAGYARÓSI Éva
2382	Csáki László	14929	CSÁKI László
492	Szörényi Beatrix	14955	SZÖRÉNYI Beatrix
175	El Kazovszkij	15477	EL Kazovszkij
4095	Mátrai Erik	17199	MÁTRAI Erik
4074	Vécsei Júlia	14963	VÉCSEI Júlia
3980	Batykó Róbert	16338	BATYKÓ Róbert
3604	Kicsiny Balázs	4305	KICSINY BALÁZS
717	Sturcz János	12850	STURCZ János
717	Sturcz János	11160	STURCZ János
7854	Szilágyi Rudolf	17481	SZILÁGYI RUDOLF
756	Jovánovics György	11547	JOVÁNOVICS GYÖRGY
299	Chilf Mária	4622	CHILF Mária
299	Chilf Mária	3764	CHILF MÁRIA
797	Szotyory László	15481	SZOTYORY László
83	Nagy Gábor György	898	nagy Gábor György
3246	Nyakas Ilona	17130	Nyakas ILona
304	Orbán György	4617	ORBÁN György
145	Braun András	9180	BRAUN András
508	Horányi Attila	22092	HORÁNYI Attila
525	Andrási Gábor	1718	Andrási gábor
440	Hegedűs 2 László	6431	HEGEDŰS 2 LÁSZLÓ
5095	Kis Róka Csaba	16342	KIS RÓKA Csaba
648	Rácmolnár Sándor	6399	RácmolnáR Sándor
2981	Horváth Roland	4122	HORVÁTH ROLAND
1653	Klimó Károly	11475	KLIMÓ Károly
1653	Klimó Károly	10128	KLIMÓ KÁROLY
611	Haász István	15866	haász istván
545	Lakner László	14943	LAKNER László
5118	Rieder Gábor	14829	RIEDER Gábor
5098	Szinyova Gergő	15870	szinyova gergő
5098	Szinyova Gergő	5121	Szinyova GErgő
3	Kupcsik Adrián	9079	KUPCSIK ADRIÁN
1231	Jerger Krisztina	11163	JERGER Krisztina
1231	Jerger Krisztina	3093	Jerger krisztina
9703	Somosi Rita	10692	SOMOSI Rita
2092	Baksai József	11541	BAKSAI JÓZSEF
1759	Bullás József	17403	BULLÁS József
1759	Bullás József	2262	Bullás józsef
518	Július Gyula	17193	JÚLIUS Gyula
8436	Keresztesi Botond	13651	KERESZTESI Botond
6603	Bartha Máté	7209	BARTHA Máté
3702	Mucius	3771	MUCIUS
895	Előd Ágnes	15211	ELŐD Ágnes
895	Előd Ágnes	2720	Előd ágnes
6678	Mayer Éva	18698	MAYER Éva
6249	Szalai Borbála	12212	SZALAI Borbála
5135	Karácsonyi László	16257	KARÁCSONYI László
3017	Kelemen Károly	14937	KELEMEN Károly
369	Erőss István	8797	ERŐSS István
265	Kőnig Frigyes	8313	Kőnig frigyes
2435	Baranyai Levente	15190	BARANYAI Levente
1224	Aknai Katalin	16798	AKNAI KATALIN
12364	Kenéz Réka	12210	KENÉZ Réka
3592	Moizer Zsuzsa	16631	MOIZER Zsuzsa
3592	Moizer Zsuzsa	11119	MOIZER ZSUZSA
2144	Andreas Fogarasi	9852	Andreas FOGARASI
920	Fajó János	7059	FAJÓ JÁNOS
281	Károlyi Zsigmond	9870	Károlyi zsigmond
5738	Benedek Barna	8575	BENEDEK BARNA
7693	Kishonthy Zsolt	692	kishonthy zsolt
152	Barcsay Jenő	9937	BARCSAY JENŐ
8440	Brückner János	10070	Brückner jános
7445	Vajda Lajos	14961	VAJDA Lajos
7445	Vajda Lajos	9940	VAJDA LAJOS
